# TM102 capture — label=general-timed port=/dev/cu.usbserial-0001 started=20260826-132002
locked RF_CH 50 (2450 MHz)

Addressed capture: 5-byte address 18 18 18 18 3A, CRC off.
Every line below matched all 40 address bits in hardware.
Byte 0 is payload p0. Press x to stop.

[CH: 50] LEN: 12 | HEX: FA 76 F6 E3 6E 73 FF AB 58 65 BD BB | T:14798 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 E2 6F 73 FF AD 04 80 AF FD | T:14828 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FC E1 6C 73 FF 56 B1 8E BD FE | T:14858 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E0 6D 73 EF 5F 2D 6B BF FF | T:14888 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 DE 52 73 FE BF B8 7B FF FF | T:14918 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FE 73 73 FE FF 5D E4 BF F7 | T:14948 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FD 70 73 DD 5F 2A 6A AD BF | T:14952 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA FC 71 73 DF BB EE 8F 3F 7D | T:14956 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 EE F3 76 73 FD 7F 80 76 B7 BF | T:14986 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE F2 77 73 BB F5 1C 93 BF DB | T:15016 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F9 74 73 FD FA 69 9F BF FF | T:15046 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E8 75 73 FD 7D B5 78 BF CF | T:15076 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F4 F7 76 73 EA FD 04 6F B7 EF | T:15106 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 EE F6 73 F3 BB FB DC 8A BF FB | T:15136 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EC F5 78 73 FD FF AD 84 BD AF | T:15166 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 79 73 DD FD 71 61 BF FF | T:15196 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE F3 7A 73 BF FB 47 98 BF FF | T:15226 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 EE E2 77 73 FD FB 9B 75 BB BB | T:15256 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F1 7C 73 FA FF DE 73 BF FF | T:15286 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 F0 75 73 FD FA 32 96 AA BD | T:15316 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 EE 63 73 EA FF 40 99 BB FD | T:15376 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE ED 60 73 FD 7F 35 97 AF DF | T:15406 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 F6 EC 61 73 DA FF C9 72 BB FF | T:15436 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EB 66 73 FF 7E 9F 8B AF F9 | T:15466 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EA EA 66 73 BF FE 83 EE BF DF | T:15496 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E9 64 73 FD 7D 76 60 AF DF | T:15526 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 E8 65 63 55 F5 2A 85 BF BE | T:15556 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FC E7 6A 73 FE FD 1B 92 BB FB | T:15586 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E6 6B 73 FD 7D 47 77 BF FF | T:15616 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E5 68 73 DD FF B2 71 BF 6D | T:15645 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 EE E4 69 73 D7 BE EE 9C BF FF | T:15675 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE E3 6E 73 BF F7 58 65 BF FF | T:15705 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E2 6E F3 BF D7 84 80 BF BF | T:15735 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 E1 6C 73 FE BF D1 8E BF FD | T:15765 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 E0 6D 73 DD FE AD 6B BF FB | T:15795 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 DF 52 73 FD FF BC 73 BF AD | T:15825 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 FE 73 73 FB FB 5F 64 AF EF | T:15855 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FD 70 73 DE FB 2A 6A AB FE | T:15859 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 F4 71 73 BF F7 F6 8F B7 FF | T:15863 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FB 76 73 FE BF C0 76 BD FE | T:15893 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 FA 67 F3 FB FA 5C 93 FF 7F | T:15923 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 74 73 DF FB 69 9D BD F7 | T:15953 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F0 75 73 DD 7F B5 78 BF ED | T:15983 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E7 7A 73 FD 7F 04 6F AF DF | T:16013 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F6 77 73 DA FB D8 8A AF AB | T:16043 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E5 70 73 FD 7D AD 84 BD FF | T:16073 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F4 71 73 FF FA 71 61 AF FF | T:16103 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 F3 75 7B FD 7F 47 98 BF FF | T:16133 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 E2 7B 73 FD F7 5B 79 AE AF | T:16163 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EA F1 78 73 FD 7F EE 73 EF FF | T:16193 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F0 7B 73 FA FF 32 96 AB DB | T:16223 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EF 62 73 DE FB 1E 7C AF 5E | T:16253 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 EE 63 73 FD 7F 40 99 BE FF | T:16283 RPD:1
[CH: 50] LEN: 12 | HEX: FA 7B FD 00 81 73 DE FE F2 15 BD FA | T:16502 RPD:1
[CH: 50] LEN: 12 | HEX: FA 7B FD 00 81 73 FE BF 72 15 AF FF | T:16502 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 BD FE FE 70 ED 7F 12 9C AF F7 | T:16533 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 54 F5 EC 73 DD 7B 25 1C BF DF | T:16536 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 DE FE F6 70 F7 BD 12 9E AB 6F | T:16539 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA FD FF 73 DE FA 25 1C AE FF | T:16550 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 FA FE FA 70 FB BE 92 9E BF BF | T:16551 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA FD DA 73 DA FF 25 1E BF DA | T:16562 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 FA F6 FE 70 FF BF 52 9E BF FF | T:16562 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 BD FD FE 73 FE BF 25 1E BF FA | T:16574 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA FE FE 70 F7 BF 52 9E BD 76 | T:16585 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FD F7 FB 73 FD 7F 25 1C AE DA | T:16585 RPD:0
[CH: 50] LEN: 12 | HEX: F1 7F FC EA FE 70 FE BE 92 9F AF FF | T:16596 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FD FA FE 70 FB 5F 92 9E AD 5F | T:16597 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA F7 FE 73 FE FD 25 1C BB FF | T:16608 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 5A FE FE 70 FF 7E 92 9E AB 7D | T:16608 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA FD EC 73 DF FF 25 1C AB FF | T:16619 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FD FE FE 70 FF 7F 92 9E BF F7 | T:16631 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FE F5 EA 73 DF FD 25 1C BF FD | T:16631 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 BE FD FE 73 BF F5 25 1C BB D7 | T:16642 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 B5 F5 FE 73 DD 7D 25 1C BD DF | T:16643 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BE FE FE 70 FB FF 52 9C BD 75 | T:16654 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 F4 FD DD 73 FB FA A5 1C BB FD | T:16654 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FE FE F4 70 F7 7F 92 9E BF EF | T:16665 RPD:1
[CH: 50] LEN: 12 | HEX: F1 7F BD FD F4 73 DD 7E 25 1C BA FF | T:16677 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 7C FE FE 70 FF 5F 12 9E AD 5F | T:16677 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA F5 FF 73 DD FA 25 1C AF FF | T:16688 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 BE F5 FE 73 FD 7E A5 1C BF FF | T:16689 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BE FD FD 73 DF FA 25 1C BF BF | T:16700 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 BA FE FE 70 FE BE 92 9E BF FE | T:16700 RPD:0
