# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-140054
locked RF_CH 50 (2450 MHz)

Addressed capture: 5-byte address 18 18 18 18 3A, CRC off.
Every line below matched all 40 address bits in hardware.
Byte 0 is payload p0. Press x to stop.

[CH: 50] LEN: 12 | HEX: F2 76 FE E8 65 F7 5F F5 E4 BC AF 75 | T:2470010 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E7 6A FF BF DD D5 A9 BF FB | T:2470040 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E6 6B FF AF FA 89 4C AB FC | T:2470070 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E5 68 FF D7 DD 7C 42 BF FF | T:2470100 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FC E4 69 DD 7E F5 20 A7 BB FF | T:2470130 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E3 6E FF D7 FE 96 5E AF 7D | T:2470160 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E2 6F F5 7F F5 8A BB AB AA | T:2470190 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E1 6C FF 5F AF 7D 35 AB DF | T:2470220 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA E0 6D F5 AB D7 63 50 BF FF | T:2470250 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE DF 52 FF AB FF CA 40 BE BF | T:2470280 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FD F6 73 FF 5F FA 91 5F AA DF | T:2470331 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 FD 70 FF AF FF 64 51 AF ED | T:2470361 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE FC 71 EF 5F BF B8 B4 BB BF | T:2470391 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F3 76 FF 5F FD 0E 4D BF BF | T:2470421 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F5 FA 77 FD 7F EB 52 A8 AE FF | T:2470451 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F9 74 FB 57 EF 27 A6 BF AF | T:2470481 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 F5 5F DE 5B 43 BF FF | T:2470511 RPD:1
