# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-153939
[CH: 50] LEN: 12 | HEX: F2 76 F4 FA 77 F8 93 FD 19 7F AF 5F | T:8381413 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F6 F5 74 F8 93 FD EC 71 BF FF | T:8381424 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F0 75 F8 93 FD 30 94 AF BE | T:8381424 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FE E7 7A F0 93 DF 81 83 AF FF | T:8381436 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FE F5 78 E8 93 5A 28 68 AB DE | T:8381453 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F4 79 F8 93 FE B4 8D BF DB | T:8381483 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E3 7E F8 93 FE 82 74 BB 7F | T:8381513 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F2 7B B8 93 FE 9E 91 BF F7 | T:8381543 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 F1 78 F8 93 FD 6B 9F FF FF | T:8381573 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F0 79 E8 93 FD 77 7A BF FF | T:8381603 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EF 62 F8 93 FE 19 90 AA D6 | T:8381633 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE EE 63 D8 93 FD C5 75 AB BF | T:8381663 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE ED 60 F8 93 FD 30 7B BF FE | T:8381692 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE EC 61 F8 93 FE EC 9E BF DA | T:8381722 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 F8 93 FE DA 67 BE FF | T:8381752 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EA 67 F8 93 AF 86 82 AF 75 | T:8381782 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F4 E9 64 F8 93 FD 73 8C BF 7D | T:8381812 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE E8 65 F8 93 FD 2F 69 AF FF | T:8381842 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 E7 6A F4 93 BF 9C 7E AB 7F | T:8381872 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E6 6B D0 93 DF 42 9B B7 FF | T:8381902 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FD E5 68 F0 93 BD 37 55 B7 FF | T:8381932 RPD:1
locked RF_CH 50 (2450 MHz)
[CH: 50] LEN: 12 | HEX: FA 76 FE E4 69 E8 93 EF EB 70 BD DD | T:8381962 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 FA E3 6E F8 93 DD 5D 89 AB F6 | T:8381992 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F5 E2 6F F8 93 FD 81 6C BF 55 | T:8382022 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E1 6C F8 93 FE F4 62 B7 FF | T:8382052 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FD E0 6D F8 93 FE E8 87 BF FD | T:8382082 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EF DF 52 F0 93 AE 39 97 AF FF | T:8382112 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FE 73 F8 93 FD 5A 88 BB 7B | T:8382142 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FD 70 F8 93 FF 6F 06 BF BF | T:8382146 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F4 71 EC 93 FA F3 63 FF EE | T:8382150 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F5 F3 76 F8 93 FD 45 9A AE BE | T:8382161 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 74 F8 93 FF 4C 71 B7 EF | T:8382162 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F8 75 F0 93 FE B0 94 BF DD | T:8382173 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F7 FA F8 93 D6 C1 83 BF EB | T:8382173 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F6 7B D8 93 BD 5D 66 BF F5 | T:8382185 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F5 F5 78 F8 93 EF 28 68 AF FF | T:8382204 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 79 F8 93 FF D4 8D BF FD | T:8382234 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F3 7E F8 93 FF A2 74 AE DF | T:8382264 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 F2 7F F8 93 F5 1E 91 BD FF | T:8382294 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F1 78 F8 93 DE EB 9F BF 6D | T:8382324 RPD:1

Addressed capture: 5-byte address 18 18 18 18 3A, CRC off.
Every line below matched all 40 address bits in hardware.
Byte 0 is payload p0. Press x to stop.

[CH: 50] LEN: 12 | HEX: FA 76 FE F0 79 F8 93 FE B7 7A BD FF | T:8382359 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FD EF 62 F0 93 DE 99 90 BE BF | T:8382384 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EE 63 F8 93 EB C5 75 BE FE | T:8382414 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE ED 60 F0 93 EF 70 73 BF AD | T:8382444 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EC 61 F8 93 FF 6C 9E BE FF | T:8382474 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 F0 93 D6 5A 67 AD D8 | T:8382504 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EA 67 F8 93 FF 46 82 AE 5F | T:8382534 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E9 64 F0 93 FF 53 8C BD D5 | T:8382564 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E8 65 F0 93 FF 2F 69 BE F2 | T:8382594 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E7 6A F8 93 FE 9E 7C BF BA | T:8382624 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E6 6B F8 93 FD 42 9B BE FF | T:8382654 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E5 68 F8 93 DE 37 15 BF 7D | T:8382684 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E4 69 E8 93 FA EB 70 AD FE | T:8382714 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E3 6E F4 93 FA DD 89 BF FB | T:8382744 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA E2 6F B8 93 D7 01 6C BE F5 | T:8382774 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C F8 93 EE 74 62 BF FF | T:8382804 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E0 6D F8 93 FF A8 87 FF F7 | T:8382834 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE DF 52 F8 93 FE B9 97 FD BF | T:8382864 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FC F4 73 A8 93 D6 DA 88 BB FD | T:8382893 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA FD 70 F0 93 DD 2F 86 AF 7F | T:8382897 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FC 71 F8 93 FF 73 63 BF B7 | T:8382900 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FB 76 F8 93 FE C5 9A BF BD | T:8382911 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 FA 77 D8 93 DE 59 7F BF 7D | T:8382912 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F5 74 F8 93 FF 4C 71 BF FE | T:8382923 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F0 75 F8 93 DF 30 94 BF EA | T:8382923 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F7 7A F8 93 EE C1 83 7F FF | T:8382935 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE ED 78 FC 93 F6 28 68 BF FF | T:8382952 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FA F4 79 F8 93 FD AC 8D BF FF | T:8382982 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F6 EB 76 F0 93 DF C2 6C BF DF | T:8383012 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F1 7A F4 93 FF 6B 9F 7F FF | T:8383072 RPD:0
