# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-145842
0] LEN: 12 | HEX: FA 76 FE E0 6D F1 92 FA AC 86 AF FF | T:5922522 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 EF F3 7E F1 92 EE C6 75 B7 BE | T:5927333 RPD:1
[CH: 50] LEN: 12 | HEX: FE 76 FD F2 7B B9 92 F6 9A 90 BF DF | T:5927363 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F1 7A F9 92 F7 EF 5D BF 56 | T:5927393 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FD EF 62 FD 92 EF 1D 91 BF FF | T:5927453 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FD EE 63 D9 92 FE C1 74 BE FF | T:5927483 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FC ED 60 F5 92 F7 B4 76 AB FF | T:5927513 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE EC 61 F9 92 FE E8 9D 2F EF | T:5927543 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F4 EA 67 F5 92 F7 42 83 BF 7B | T:5927603 RPD:1
[CH: 50] LEN: 12 | HEX: FE 76 F6 E9 64 F9 92 FD F7 8D BB FD | T:5927633 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FF E7 6A F1 92 FF DA 7A BF FB | T:5927693 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE E6 6B F9 92 FF 46 9A BF FF | T:5927723 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E5 68 D1 92 EA 33 14 BF EF | T:5927753 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EA E4 69 D9 92 F7 6F 71 BF DF | T:5927783 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FC E3 6E F9 92 F7 D9 88 B7 FF | T:5927813 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FA E2 6F E9 92 FE 85 6D BA B7 | T:5927843 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C E9 92 FE F0 6B AB F5 | T:5927873 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E0 6D F9 92 FF 6C 86 BB FF | T:5927903 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA DE 52 F9 92 FF BD 96 BD FF | T:5927933 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FA 73 F5 92 F5 DE 89 BF FF | T:5927963 RPD:1
