# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-154512
[CH: 50] LEN: 12 | HEX: FA 76 FE EE 63 79 91 FF AF 7D BB FF | T:8716096 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EC ED 60 79 91 FF DA 73 AF 7F | T:8716126 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FC EC 61 79 91 FF 06 96 AF 7F | T:8716156 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 79 91 FF 30 6F BD FF | T:8716185 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EA 67 79 91 FE AC 8A BD 5F | T:8716215 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E9 64 79 91 FE 59 84 AF FB | T:8716245 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 E8 65 79 91 EB 45 61 BE FF | T:8716275 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA E6 6B 79 91 ED 28 93 BF DF | T:8716335 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E5 68 79 91 F6 DD 9D AE FF | T:8716365 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FC E4 69 79 91 EF 01 70 AF 3B | T:8716395 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E3 6E 71 91 EF 37 01 BE FD | T:8716425 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E2 6F 79 91 FF 6B 64 BF DF | T:8716455 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E1 6C 79 91 FF 1E 6A AA FD | T:8716485 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E0 6D 79 91 EF A2 8F AF 77 | T:8716515 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 DF 52 79 91 EB 53 9D 2F 6B | T:8716545 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FE 73 79 91 FF F0 80 BF ED | T:8716575 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F5 70 79 91 F7 A5 8E AD ED | T:8716579 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FC 71 79 91 EE 19 6B BB FF | T:8716582 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA FB 76 79 91 FF 2F 92 BA FF | T:8716593 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FA 77 79 91 FF D3 77 B5 EE | T:8716593 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 74 79 91 FF C6 79 BF 9D | T:8716605 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E8 75 79 91 FF 5A 9C B3 BE | T:8716605 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FB F6 7B 79 91 FE B7 6E AE 77 | T:8716616 RPD:0
