# TM102 capture — label=buzz-2 port=/dev/cu.usbserial-0001 started=20260826-133344
[CH: 50] LEN: 12 | HEX: F9 77 F6 ED EA 73 95 FD 41 DD BB FF | T:826869 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 F6 FE EE 70 95 F7 76 7F BF 7B | T:826881 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 74 FD DE 73 95 D5 41 E9 AF EF | T:826892 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 F9 EE FE 70 95 DD 76 75 7F DF | T:826902 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 7E ED EF 73 95 DF C1 F9 FF FF | T:826905 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FA FE FE 70 95 FD 76 7E BD EF | T:826908 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 EE FD FF 73 95 DD C1 FB BF 7F | T:826919 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 FA F6 FD 70 95 DF 7E 7F BF FF | T:826919 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 FA F5 FD 73 95 F7 41 ED AF FD | T:826930 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FD FE FE 70 95 F7 F6 7B BF D7 | T:826931 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 DE FD FF 73 95 ED C1 FD BE FD | T:826942 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 FD F6 FE 70 95 FE F6 7B BF 7F | T:826953 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 BA F5 EE 73 95 FF C1 DD BF BF | T:826954 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 EE EE EE 70 95 EB 76 77 BD BE | T:826965 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 AD FD FE 70 95 FD 76 7F 3F 77 | T:826965 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 7A FD FF 73 95 FE 81 FD BF FE | T:826976 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 F6 F6 ED 70 95 FF 76 76 BE F6 | T:826988 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FE FD FE 73 95 D5 41 AB BF 7E | T:826988 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 76 F6 FE 70 95 EE F6 7F BF F7 | T:826999 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 DC F4 F6 70 95 FF F6 7D BF FF | T:827000 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BE F5 DE 73 95 F5 C1 FD AF FA | T:827011 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 7E F6 EE 70 95 EE F6 77 FE FF | T:827011 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 F4 F5 FD 73 95 FE C1 E9 BF 7F | T:827022 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FA FB FE 73 95 EB C1 FB AF EF | T:827034 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 BA EE FE 70 95 FD 76 77 BF BD | T:827034 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 7E ED FC 73 95 DD C1 DD B7 ED | T:827045 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 AB F5 DD 73 95 FD 41 FD BE F7 | T:827046 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 F4 FE EA 70 95 FF 76 7F BB FB | T:827057 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FD FD F6 73 95 EB C1 F5 BD BE | T:827057 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 DD FE FE 70 95 FC 76 7B 3F FF | T:827068 RPD:1
[CH: 50] LEN: 12 | HEX: ED 77 FA F5 EE 73 95 EF C1 ED BF 37 | T:827080 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 DC FF F6 70 95 EF 76 7D 3D F7 | T:827080 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 F6 F6 FE 70 95 FF F6 7B 3E FE | T:827091 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 F4 F4 F4 70 95 EA F6 7F EF FD | T:827091 RPD:0
